month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,vt_prev,vt_curr
2016-02-29,2016-03-01,0,D10,CMIG4,L,0.09090909090909091,0.09090909090909091,0.0,keep,Electric Power,32,0,1.280193272,,
2016-02-29,2016-03-01,0,D10,CSMG3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Other,62,0,2.222283149,,
2016-02-29,2016-03-01,0,D10,DIRR3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Construction,1,0,0.859115768,,
2016-02-29,2016-03-01,0,D10,ENAT3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Oil & Gas,17,0,2.426868952,,
2016-02-29,2016-03-01,0,D10,HGTX3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Textile,11,0,10.52475373,,
2016-02-29,2016-03-01,0,D10,MBRF3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Food & Beverage,5,0,3.849187139,,
2016-02-29,2016-03-01,0,D10,MGLU3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Trade,32,0,0.733400979,,
2016-02-29,2016-03-01,0,D10,MYPK3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Vehicle & Parts,5,0,6.755131095,,
2016-02-29,2016-03-01,0,D10,PSSA3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Financial Services,29,0,7.153785969,,
2016-02-29,2016-03-01,0,D10,SEER3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Other,5,0,6.785959958,,
2016-02-29,2016-03-01,0,D10,TOTS3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Software & Data,17,0,9.205833172,,
2016-02-29,2016-03-01,1,D10,AESB3,L,0.0,0.09090909090909091,0.09090909090909091,add,Electric Power,1,0,9.223231784,,
2016-02-29,2016-03-01,1,D10,B3SA3,L,0.0,0.09090909090909091,0.09090909090909091,add,Financial Services,1,0,2.801811956,,
2016-02-29,2016-03-01,1,D10,CMIG4,L,0.09090909090909091,0.09090909090909091,0.0,keep,Electric Power,34,0,1.280193272,,
2016-02-29,2016-03-01,1,D10,CSMG3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Other,64,0,2.222283149,,
2016-02-29,2016-03-01,1,D10,ENAT3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Oil & Gas,16,0,2.426868952,,
2016-02-29,2016-03-01,1,D10,EZTC3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Construction,4,0,6.749728857,,
2016-02-29,2016-03-01,1,D10,HGTX3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Textile,10,0,10.52475373,,
2016-02-29,2016-03-01,1,D10,JBSS3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Food & Beverage,7,0,7.485719099,,
2016-02-29,2016-03-01,1,D10,MGLU3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Trade,34,0,0.733400979,,
2016-02-29,2016-03-01,1,D10,MYPK3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Vehicle & Parts,4,0,6.755131095,,
2016-02-29,2016-03-01,1,D10,PSSA3,L,0.09090909090909091,0.0,-0.09090909090909091,exit,Financial Services,27,0,7.153785969,,
2016-02-29,2016-03-01,1,D10,SEER3,L,0.09090909090909091,0.0,-0.09090909090909091,exit,Other,4,0,6.785959958,,
2016-02-29,2016-03-01,1,D10,TOTS3,L,0.09090909090909091,0.09090909090909091,0.0,keep,Software & Data,16,0,9.205833172,,
2016-02-29,2016-03-01,2,D10,CMIG4,L,0.07692307692307693,0.07692307692307693,0.0,keep,Electric Power,30,0,1.280193272,,
2016-02-29,2016-03-01,2,D10,CSMG3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Other,66,0,2.222283149,,
2016-02-29,2016-03-01,2,D10,DXCO3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Other,1,2,3.746937282,,
2016-02-29,2016-03-01,2,D10,ENAT3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Oil & Gas,18,0,2.426868952,,
2016-02-29,2016-03-01,2,D10,EZTC3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Construction,9,0,6.749728857,,
2016-02-29,2016-03-01,2,D10,HGTX3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Textile,12,0,10.52475373,,
2016-02-29,2016-03-01,2,D10,JBSS3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Food & Beverage,15,1,7.485719099,,
2016-02-29,2016-03-01,2,D10,MBRF3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Food & Beverage,6,0,3.849187139,,
2016-02-29,2016-03-01,2,D10,MGLU3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Trade,30,0,0.733400979,,
2016-02-29,2016-03-01,2,D10,MYPK3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Vehicle & Parts,6,0,6.755131095,,
2016-02-29,2016-03-01,2,D10,PSSA3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Financial Services,30,0,7.153785969,,
2016-02-29,2016-03-01,2,D10,SEER3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Other,6,0,6.785959958,,
2016-02-29,2016-03-01,2,D10,TOTS3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Software & Data,18,0,9.205833172,,
2016-02-29,2016-03-01,0,LS,CMIG4,L,0.057815472907784014,0.07168844261567643,0.013872969707892417,reweight,Electric Power,32,0,1.280193272,1.1563094581556799,1.147015081850823
2016-02-29,2016-03-01,0,LS,CSMG3,L,0.057815472907784014,0.07168844261567643,0.013872969707892417,reweight,Other,62,0,2.222283149,1.1563094581556799,1.147015081850823
2016-02-29,2016-03-01,0,LS,ENAT3,L,0.057815472907784014,0.07168844261567643,0.013872969707892417,reweight,Oil & Gas,17,0,2.426868952,1.1563094581556799,1.147015081850823
2016-02-29,2016-03-01,0,LS,HGTX3,L,0.057815472907784014,0.07168844261567643,0.013872969707892417,reweight,Textile,11,0,10.52475373,1.1563094581556799,1.147015081850823
2016-02-29,2016-03-01,0,LS,MBRF3,L,0.057815472907784014,0.07168844261567643,0.013872969707892417,reweight,Food & Beverage,5,0,3.849187139,1.1563094581556799,1.147015081850823
2016-02-29,2016-03-01,0,LS,MGLU3,L,0.057815472907784014,0.07168844261567643,0.013872969707892417,reweight,Trade,32,0,0.733400979,1.1563094581556799,1.147015081850823
2016-02-29,2016-03-01,0,LS,MYPK3,L,0.057815472907784014,0.07168844261567643,0.013872969707892417,reweight,Vehicle & Parts,5,0,6.755131095,1.1563094581556799,1.147015081850823
2016-02-29,2016-03-01,0,LS,PSSA3,L,0.057815472907784014,0.0,-0.057815472907784014,exit,Financial Services,28,0,7.153785969,1.1563094581556799,1.147015081850823
2016-02-29,2016-03-01,0,LS,SEER3,L,0.057815472907784014,0.0,-0.057815472907784014,exit,Other,4,0,6.785959958,1.1563094581556799,1.147015081850823
2016-02-29,2016-03-01,0,LS,TOTS3,L,0.057815472907784014,0.07168844261567643,0.013872969707892417,reweight,Software & Data,17,0,9.205833172,1.1563094581556799,1.147015081850823
2016-02-29,2016-03-01,0,LS,ABEV3,S,-0.057815472907784014,-0.057350754092541166,0.0004647188152428483,keep,Food & Beverage,11,0,12.30146495,1.1563094581556799,1.147015081850823
