month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2015-01-30,2015-02-02,0,D10,BRML3,L,0.07692307692307694,0.10000000000000003,0.023076923076923092,reweight,Other,19,0,9.274053326,0,,1.0,,
2015-01-30,2015-02-02,0,D10,CMIG4,L,0.07692307692307694,0.10000000000000003,0.023076923076923092,reweight,Electric Power,19,0,2.430883186,0,,1.0,,
2015-01-30,2015-02-02,0,D10,CSMG3,L,0.07692307692307694,0.10000000000000003,0.023076923076923092,reweight,Other,49,0,2.466669002,0,,1.0,,
2015-01-30,2015-02-02,0,D10,CVCB3,L,0.07692307692307694,0.0,-0.07692307692307694,exit,Transportation Services,3,0,9.934644379,0,,1.0,,
2015-01-30,2015-02-02,0,D10,DXCO3,L,0.07692307692307694,0.10000000000000003,0.023076923076923092,reweight,Other,4,0,4.168437639,0,,1.0,,
2015-01-30,2015-02-02,0,D10,ENAT3,L,0.07692307692307694,0.10000000000000003,0.023076923076923092,reweight,Oil & Gas,4,0,3.216733932,0,,1.0,,
2015-01-30,2015-02-02,0,D10,GFSA3,L,0.07692307692307694,0.10000000000000003,0.023076923076923092,reweight,Construction,4,0,1898.62507,0,,1.0,,
2015-01-30,2015-02-02,0,D10,GUAR3,L,0.07692307692307694,0.10000000000000003,0.023076923076923092,reweight,Textile,4,0,7.680184614,0,,1.0,,
2015-01-30,2015-02-02,0,D10,MBRF3,L,0.07692307692307694,0.0,-0.07692307692307694,exit,Food & Beverage,15,0,3.084245338,0,,1.0,,
2015-01-30,2015-02-02,0,D10,MGLU3,L,0.07692307692307694,0.10000000000000003,0.023076923076923092,reweight,Trade,19,0,1.92335895,0,,1.0,,
2015-01-30,2015-02-02,0,D10,PSSA3,L,0.07692307692307694,0.10000000000000003,0.023076923076923092,reweight,Financial Services,16,0,7.802040517,0,,1.0,,
2015-01-30,2015-02-02,0,D10,TOTS3,L,0.07692307692307694,0.10000000000000003,0.023076923076923092,reweight,Software & Data,4,0,9.569888144,0,,1.0,,
2015-01-30,2015-02-02,0,D10,USIM5,L,0.07692307692307694,0.0,-0.07692307692307694,exit,Basic & Fabricated Metal,0,0,2.620124369,0,,1.0,,
2015-01-30,2015-02-02,1,D10,BRML3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,21,0,9.274053326,0,,1.0,,
2015-01-30,2015-02-02,1,D10,CMIG4,L,0.07692307692307694,0.07692307692307694,0.0,keep,Electric Power,21,0,2.430883186,0,,1.0,,
2015-01-30,2015-02-02,1,D10,CSMG3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,51,0,2.466669002,0,,1.0,,
2015-01-30,2015-02-02,1,D10,DXCO3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,15,0,4.168437639,0,,1.0,,
2015-01-30,2015-02-02,1,D10,ENAT3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Oil & Gas,3,0,3.216733932,0,,1.0,,
2015-01-30,2015-02-02,1,D10,GETI3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Electric Power,3,0,12.93400198,0,,1.0,,
2015-01-30,2015-02-02,1,D10,GFSA3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Construction,3,0,1898.62507,0,,1.0,,
2015-01-30,2015-02-02,1,D10,GUAR3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Textile,3,0,7.680184614,0,,1.0,,
2015-01-30,2015-02-02,1,D10,MBRF3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Food & Beverage,15,1,3.084245338,0,,1.0,,
2015-01-30,2015-02-02,1,D10,MGLU3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Trade,21,0,1.92335895,0,,1.0,,
2015-01-30,2015-02-02,1,D10,PSSA3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Financial Services,15,0,7.802040517,0,,1.0,,
2015-01-30,2015-02-02,1,D10,TOTS3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Software & Data,3,0,9.569888144,0,,1.0,,
2015-01-30,2015-02-02,1,D10,USIM5,L,0.07692307692307694,0.07692307692307694,0.0,keep,Basic & Fabricated Metal,1,0,2.620124369,0,,1.0,,
2015-01-30,2015-02-02,2,D10,BRML3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Other,20,0,9.274053326,0,,1.0,,
2015-01-30,2015-02-02,2,D10,CMIG4,L,0.08333333333333333,0.08333333333333333,0.0,keep,Electric Power,20,0,2.430883186,0,,1.0,,
2015-01-30,2015-02-02,2,D10,CSMG3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Other,53,0,2.466669002,0,,1.0,,
2015-01-30,2015-02-02,2,D10,DXCO3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Other,32,0,4.168437639,0,,1.0,,
2015-01-30,2015-02-02,2,D10,ENAT3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Oil & Gas,5,0,3.216733932,0,,1.0,,
