month_end,mom_raw,mom_net,mom,mom_carry,mom_borrow,mom_dispersion,mom_gate_active,mom_turnover,mom_gross_long,mom_gross_short,val_raw,val_net,val,val_carry,val_borrow,val_dispersion,val_gate_active,val_turnover,val_gross_long,val_gross_short,bova11,cdi,combo_pre_overlay,combo_beta_est,combo_hedge_ratio,combo_raw,combo_net,combo,combo_carry,combo_borrow,combo_financing,combo_turnover,combo_gross_long,combo_gross_short,combo_gate_active,mom_risk_ls_weighted_multiplier,val_risk_ls_weighted_multiplier,mom_risk_ls_weighted_score,val_risk_ls_weighted_score,mom_risk_ls_flagged,val_risk_ls_flagged,mom_risk_ls_high,val_risk_ls_high,mom_risk_d10_weighted_multiplier,val_risk_d10_weighted_multiplier,mom_risk_d10_weighted_score,val_risk_d10_weighted_score,mom_risk_d10_flagged,val_risk_d10_flagged,mom_risk_d10_high,val_risk_d10_high,mom_risk_universe_flagged,val_risk_universe_flagged,mom_risk_universe_high,val_risk_universe_high,mom_risk_universe_avg_multiplier,val_risk_universe_avg_multiplier,combo_risk_ls_weighted_multiplier,combo_risk_ls_weighted_score,combo_risk_d10_weighted_multiplier,combo_risk_d10_weighted_score,combo_risk_universe_avg_multiplier,combo_risk_ls_flagged,combo_risk_ls_high,combo_risk_d10_flagged,combo_risk_d10_high,combo_risk_universe_flagged,combo_risk_universe_high
2011-01-31,0.0073450863057815,0.0083405759679608,0.0083405759679608,0.004212504717181,0.0032170150550017,2.1859472956446657,1.0,2.7292982688701767e-16,0.4999999999999998,0.5,-0.0059573157031968,-0.0049618260410175,-0.0049618260410175,0.004212504717181,0.0032170150550017,2.24213414153394,1.0,0.3851851851851851,0.5,0.4999999999999998,-0.0011961722488037,0.008425009434362,0.0006190749641649998,0.0,0.0,0.0006190749641649998,0.0016145646263443,0.0016145646263443,0.004212504717181,0.0032170150550017,0.0009954896621793001,0.19259259259259268,0.4999999999999999,0.4999999999999999,1.0,0.9903846153846154,1.0,0.0384615384615385,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.9924242424242424,0.9967948717948718,0.9951923076923077,0.01923076923076925,1.0,0.0,0.9946095571095571,1.0,0.0,0.0,0.0,4.0,0.0
2011-02-28,0.0382492624304536,0.0396356643300211,0.0396356643300211,0.0046034169545692,0.0032170150550017,2.087846467337309,1.0,0.3333333333333333,0.4999999999999998,0.5,-0.0072298891778223,-0.0058434872782548,-0.0058434872782548,0.0046034169545692,0.0032170150550017,2.227139623110141,1.0,0.2268518518518519,0.5,0.5,0.0179640718562874,0.0092068339091384,0.01663318558149715,0.0,0.0,0.01663318558149715,0.01801958748106465,0.01801958748106465,0.0046034169545692,0.0032170150550017,0.0013864018995674997,0.2800925925925926,0.4999999999999999,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,0.0701068416893196,0.0710879434410827,0.0710879434410827,0.0041981168067648,0.0032170150550017,2.033559923160884,1.0,0.3189916141349998,0.5,0.5,0.0281376782955123,0.0291187800472754,0.0291187800472754,0.0041981168067648,0.0032170150550017,2.2845186088295533,1.0,0.4944444444444444,0.5000000000000001,0.5,-0.0367647058823529,0.0083962336135297,0.04682294227776755,0.0,0.0,0.04682294227776755,0.04780404402953065,0.04780404402953065,0.0041981168067648,0.0032170150550017,0.0009811017517631,0.4067180292897221,0.5,0.5,1.0,0.9754589296679956,1.0,0.0981642813280185,0.0,3.0,0.0,0.0,0.0,0.979403073286052,1.0,0.0823877068557919,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.9902912621359224,0.9971910112359552,0.9877294648339978,0.04908214066400925,0.989701536643026,0.04119385342789595,0.9937411366859388,3.0,0.0,1.0,0.0,5.0,0.0
2011-04-29,0.0300662012320642,0.0317757033725584,0.0317757033725584,0.0049265171954959,0.0032170150550017,2.150147354981376,1.0,0.3829736406054629,0.5,0.5,0.0165518724474168,0.0182613745879111,0.0182613745879111,0.0049265171954959,0.0032170150550017,2.2010912119078747,1.0,0.3885521885521887,0.4999999999999999,0.4999999999999998,-0.0293129770992366,0.0098530343909919,0.02147576098737715,0.0,0.0,0.02147576098737715,0.02318526312787135,0.02318526312787135,0.0049265171954959,0.0032170150550017,0.0017095021404942,0.38576291457882583,0.49999999999999994,0.4999999999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-31,0.0203188919441817,0.0218695029927022,0.0218695029927022,0.0047676261035222,0.0032170150550017,2.14630851808374,1.0,0.3554778554778552,0.4999999999999999,0.5,0.0341843422699537,0.0361978472897097,0.0361978472897097,0.0061908749463129,0.0041773699265569,2.2589896507595335,1.0,0.2870370370370372,0.4999999999999998,0.4999999999999998,-0.0301981755268953,0.0095352522070444,0.021433581481943402,0.0,0.0,0.021433581481943402,0.023215639516081653,0.023215639516081653,0.00547925052491755,0.0036971924907793,0.00178205803413825,0.32125744625744623,0.49999999999999983,0.4999999999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-30,0.0438555785803711,0.0454761938418029,0.0454761938418029,0.0048376303164334,0.0032170150550017,2.164331440425322,1.0,0.2670940170940168,0.5,0.5,-0.0366610439125265,-0.0346412398264829,-0.0346412398264829,0.0060292320530589,0.0040094279670153,2.1962257994526495,1.0,0.2895622895622895,0.4999999999999998,0.4999999999999998,-0.0512487836522866,0.0096752606328669,0.004014891180491399,0.0,0.0,0.004014891180491399,0.005835100854229049,0.005835100854229049,0.00543343118474615,0.0036132215110085,0.0018202096737376496,0.2783281533281532,0.4999999999999999,0.4999999999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-29,0.0186213891906381,0.0207568222401153,0.0207568222401153,0.0053524481044789,0.0032170150550017,2.1115095375697503,1.0,0.2713675213675213,0.5,0.5000000000000002,-0.0209600196372324,-0.0182491369632372,-0.0182491369632372,0.0067948085909049,0.0040839259169097,2.165380851005663,1.0,0.230976430976431,0.5,0.4999999999999999,-0.0294017094017093,0.0107048962089579,0.001451162286014501,0.005358581061219228,0.0,0.001451162286014501,0.003874320147750701,0.003874320147750701,0.0060736283476919,0.0036504704859556996,0.0024231578617362,0.2511719761719762,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9975490196078431,0.9971910112359552,1.0,0.0,1.0,0.0,0.9973700154218992,0.0,0.0,0.0,0.0,2.0,0.0
2011-08-31,0.016291245590696,0.0177733576193823,0.0177733576193823,0.004699127083688,0.0032170150550017,2.103823963994617,1.0,0.3165816244664803,0.4999999999999998,0.5,0.0067860760397989,0.0087346340788023,0.0087346340788023,0.0061780227661569,0.0042294647271535,2.197076308336422,1.0,0.2083172147001933,0.4999999999999999,0.4999999999999998,-0.0991546319126452,0.009398254167376,0.0124266046141882,0.007375545136530575,0.0,0.0124266046141882,0.01414193964803305,0.01414193964803305,0.00543857492492245,0.0037232398910776003,0.0017153350338448498,0.2624494195833368,0.49999999999999983,0.4999999999999999,1.0,0.994889445139758,0.9973404255319148,0.0204422194409678,0.0106382978723404,1.0,1.0,0.0,0.0,0.988153594771242,1.0,0.0473856209150326,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.9950980392156864,0.9971590909090908,0.9961149353358364,0.0155402586566541,0.994076797385621,0.0236928104575163,0.9961285650623886,2.0,0.0,1.0,0.0,3.0,0.0
2011-09-30,0.0144193642175843,0.0155970903951539,0.0155970903951539,0.0043947412325713,0.0032170150550017,2.1891795144676593,1.0,0.3611841704879512,0.4999999999999999,0.4999999999999999,-0.0155299027715266,-0.0139419980210792,-0.0139419980210792,0.0059253420812874,0.00433743733084,2.2064521182956733,1.0,0.2274231678486998,0.4999999999999998,0.4999999999999998,0.0885630498533724,0.0087894824651426,-6.803039568984998e-05,0.00817026824222808,0.0,-6.803039568984998e-05,0.00131478506831865,0.00131478506831865,0.00516004165692935,0.00377722619292085,0.0013828154640085,0.2943036691683255,0.49999999999999983,0.49999999999999983,1.0,0.9970930232558138,1.0,0.0116279069767441,0.0,1.0,0.0,0.0,0.0,0.994186046511628,1.0,0.0232558139534883,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9975,1.0,0.9985465116279069,0.00581395348837205,0.997093023255814,0.01162790697674415,0.99875,1.0,0.0,1.0,0.0,1.0,0.0
2011-10-31,0.0837004169725584,0.084767114023481,0.084767114023481,0.0042837121059243,0.0032170150550017,2.1994065430927905,1.0,0.2890885600187924,0.4999999999999999,0.5,-0.0355877519202462,-0.0341671112472706,-0.0341671112472706,0.0057051021597276,0.004284461486752,2.2024829089008366,1.0,0.2074074074074073,0.4999999999999999,0.4999999999999998,0.0255028735632183,0.0085674242118487,0.028052275179504798,-0.03730693208180321,0.0,0.028052275179504798,0.0292959440414539,0.0292959440414539,0.00499440713282595,0.0037507382708768496,0.0012436688619491005,0.24824798371309986,0.4999999999999999,0.4999999999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
