month_end,trade_date,cohort_id,sleeve,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2020-07-31,2020-08-03,0,value,D10,CEAB3,L,0.05263157894736844,0.058823529411764705,0.006191950464396266,reweight,Trade,4,0,9.821439707,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,CIEL3,L,0.05263157894736844,0.058823529411764705,0.006191950464396266,reweight,Software & Data,34,0,4.277458007,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,CPLE6,L,0.05263157894736844,0.058823529411764705,0.006191950464396266,reweight,Electric Power,4,0,4.139587369,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,CSMG3,L,0.05263157894736844,0.058823529411764705,0.006191950464396266,reweight,Other,1,2,10.37942929,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,ENAT3,L,0.05263157894736844,0.058823529411764705,0.006191950464396266,reweight,Oil & Gas,22,0,9.93027379,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,ENBR3,L,0.05263157894736844,0.058823529411764705,0.006191950464396266,reweight,Electric Power,4,0,14.94939525,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,FESA4,L,0.05263157894736844,0.058823529411764705,0.006191950464396266,reweight,Basic & Fabricated Metal,34,1,3.347318402,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,GOLL54,L,0.05263157894736844,0.058823529411764705,0.006191950464396266,reweight,Transportation Services,8,0,0.234707255,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,GUAR3,L,0.05263157894736844,0.0,-0.05263157894736844,exit,Textile,15,0,16.03367034,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,JHSF3,L,0.05263157894736844,0.058823529411764705,0.006191950464396266,reweight,Construction,4,0,6.545300481,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,LIGT3,L,0.05263157894736844,0.0,-0.05263157894736844,exit,Electric Power,6,1,17.95523833,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,MEAL3,L,0.05263157894736844,0.058823529411764705,0.006191950464396266,reweight,Trade,4,0,4.06,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,MYPK3,L,0.05263157894736844,0.058823529411764705,0.006191950464396266,reweight,Vehicle & Parts,10,2,10.44659871,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,PRNR3,L,0.0,0.058823529411764705,0.058823529411764705,add,Construction,1,0,10.15250673,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,PSSA3,L,0.0,0.058823529411764705,0.058823529411764705,add,Financial Services,1,0,21.19067656,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,SMLS3,L,0.05263157894736844,0.058823529411764705,0.006191950464396266,reweight,Other,13,0,12.34407025,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,TEND3,L,0.05263157894736844,0.058823529411764705,0.006191950464396266,reweight,Construction,10,1,32.169435,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,TGMA3,L,0.05263157894736844,0.0,-0.05263157894736844,exit,Transportation Services,3,0,18.5853412,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,TIMS3,L,0.05263157894736844,0.058823529411764705,0.006191950464396266,reweight,Telecommunication,4,0,11.40278024,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,USIM5,L,0.05263157894736844,0.0,-0.05263157894736844,exit,Basic & Fabricated Metal,3,0,6.744895776,0,,1.0,,
2020-07-31,2020-08-03,0,value,D10,VULC3,L,0.05263157894736844,0.058823529411764705,0.006191950464396266,reweight,Textile,25,0,3.744168528,0,,1.0,,
2020-07-31,2020-08-03,1,value,D10,ALUP11,L,0.0625,0.0625,0.0,keep,Electric Power,3,0,17.45063412,0,,1.0,,
2020-07-31,2020-08-03,1,value,D10,CEAB3,L,0.0625,0.0625,0.0,keep,Trade,4,0,9.821439707,0,,1.0,,
2020-07-31,2020-08-03,1,value,D10,CIEL3,L,0.0625,0.0625,0.0,keep,Software & Data,36,0,4.277458007,0,,1.0,,
2020-07-31,2020-08-03,1,value,D10,CPLE6,L,0.0625,0.0625,0.0,keep,Electric Power,3,0,4.139587369,0,,1.0,,
2020-07-31,2020-08-03,1,value,D10,ENAT3,L,0.0625,0.0625,0.0,keep,Oil & Gas,24,0,9.93027379,0,,1.0,,
2020-07-31,2020-08-03,1,value,D10,ENBR3,L,0.0625,0.0625,0.0,keep,Electric Power,3,0,14.94939525,0,,1.0,,
2020-07-31,2020-08-03,1,value,D10,FESA4,L,0.0625,0.0625,0.0,keep,Basic & Fabricated Metal,21,0,3.347318402,0,,1.0,,
2020-07-31,2020-08-03,1,value,D10,GOLL54,L,0.0625,0.0625,0.0,keep,Transportation Services,9,0,0.234707255,0,,1.0,,
2020-07-31,2020-08-03,1,value,D10,JHSF3,L,0.0625,0.0625,0.0,keep,Construction,3,0,6.545300481,0,,1.0,,
2020-07-31,2020-08-03,1,value,D10,LIGT3,L,0.0625,0.0625,0.0,keep,Electric Power,6,0,17.95523833,0,,1.0,,
2020-07-31,2020-08-03,1,value,D10,MEAL3,L,0.0625,0.0625,0.0,keep,Trade,3,0,4.06,0,,1.0,,
2020-07-31,2020-08-03,1,value,D10,MYPK3,L,0.0625,0.0625,0.0,keep,Vehicle & Parts,15,1,10.44659871,0,,1.0,,
2020-07-31,2020-08-03,1,value,D10,SMLS3,L,0.0625,0.0625,0.0,keep,Other,12,0,12.34407025,0,,1.0,,
2020-07-31,2020-08-03,1,value,D10,TGMA3,L,0.0625,0.0625,0.0,keep,Transportation Services,3,0,18.5853412,0,,1.0,,
2020-07-31,2020-08-03,1,value,D10,TIMS3,L,0.0625,0.0625,0.0,keep,Telecommunication,3,0,11.40278024,0,,1.0,,
2020-07-31,2020-08-03,1,value,D10,VULC3,L,0.0625,0.0625,0.0,keep,Textile,3,0,3.744168528,0,,1.0,,
2020-07-31,2020-08-03,2,value,D10,AMAR3,L,0.0625,0.0625,0.0,keep,Trade,32,1,32.95085581,0,,1.0,,
2020-07-31,2020-08-03,2,value,D10,CEAB3,L,0.0625,0.0625,0.0,keep,Trade,5,0,9.821439707,0,,1.0,,
2020-07-31,2020-08-03,2,value,D10,CIEL3,L,0.0625,0.0625,0.0,keep,Software & Data,38,0,4.277458007,0,,1.0,,
2020-07-31,2020-08-03,2,value,D10,CPLE6,L,0.0625,0.0625,0.0,keep,Electric Power,5,0,4.139587369,0,,1.0,,
2020-07-31,2020-08-03,2,value,D10,CSMG3,L,0.0625,0.0625,0.0,keep,Other,8,1,10.37942929,0,,1.0,,
2020-07-31,2020-08-03,2,value,D10,ENAT3,L,0.0625,0.0625,0.0,keep,Oil & Gas,23,0,9.93027379,0,,1.0,,
2020-07-31,2020-08-03,2,value,D10,ENBR3,L,0.0625,0.0625,0.0,keep,Electric Power,5,0,14.94939525,0,,1.0,,
2020-07-31,2020-08-03,2,value,D10,FESA4,L,0.0625,0.0625,0.0,keep,Basic & Fabricated Metal,35,1,3.347318402,0,,1.0,,
2020-07-31,2020-08-03,2,value,D10,GOLL54,L,0.0625,0.0625,0.0,keep,Transportation Services,11,0,0.234707255,0,,1.0,,
2020-07-31,2020-08-03,2,value,D10,JHSF3,L,0.0625,0.0625,0.0,keep,Construction,5,0,6.545300481,0,,1.0,,
