month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2013-04-30,2013-05-02,0,D10,AEDU3,L,0.0,0.0625,0.0625,add,Other,1,0,11.81709366,0,,1.0,,
2013-04-30,2013-05-02,0,D10,AMER3,L,0.0,0.0625,0.0625,add,Trade,1,0,968.2824886,0,,1.0,,
2013-04-30,2013-05-02,0,D10,AMIL3,L,0.050847457627118654,0.0625,0.011652542372881346,reweight,Other,4,1,31.87,0,,1.0,,
2013-04-30,2013-05-02,0,D10,B3SA3,L,0.06779661016949154,0.0,-0.06779661016949154,exit,Financial Services,3,0,2.890099447,0,,1.0,,
2013-04-30,2013-05-02,0,D10,BBDC4,L,0.06779661016949154,0.0,-0.06779661016949154,exit,Financial Services,3,0,6.777436576,0,,1.0,,
2013-04-30,2013-05-02,0,D10,BEEF3,L,0.06779661016949154,0.0625,-0.005296610169491539,reweight,Food & Beverage,7,0,7.87895664,0,,1.0,,
2013-04-30,2013-05-02,0,D10,COCE5,L,0.0,0.0625,0.0625,add,Electric Power,1,0,32.43444382,0,,1.0,,
2013-04-30,2013-05-02,0,D10,CZLT33,L,0.0,0.0625,0.0625,add,Food & Beverage,1,0,37.35898122,0,,1.0,,
2013-04-30,2013-05-02,0,D10,DIRR3,L,0.0,0.0625,0.0625,add,Construction,1,0,2.393676802,0,,1.0,,
2013-04-30,2013-05-02,0,D10,EQTL3,L,0.06779661016949154,0.0625,-0.005296610169491539,reweight,Electric Power,4,0,3.394016392,0,,1.0,,
2013-04-30,2013-05-02,0,D10,EZTC3,L,0.06779661016949154,0.0,-0.06779661016949154,exit,Construction,27,0,11.51192434,0,,1.0,,
2013-04-30,2013-05-02,0,D10,GRND3,L,0.06779661016949154,0.0625,-0.005296610169491539,reweight,Textile,7,0,3.440355213,0,,1.0,,
2013-04-30,2013-05-02,0,D10,HBOR3,L,0.06779661016949154,0.0,-0.06779661016949154,exit,Construction,9,0,30.81958712,0,,1.0,,
2013-04-30,2013-05-02,0,D10,IMCH3,L,0.06779661016949154,0.0625,-0.005296610169491539,reweight,Trade,4,0,25.1502347,0,,1.0,,
2013-04-30,2013-05-02,0,D10,JHSF3,L,0.06779661016949154,0.0,-0.06779661016949154,exit,Construction,6,0,4.703753352,0,,1.0,,
2013-04-30,2013-05-02,0,D10,LEVE3,L,0.06779661016949154,0.0625,-0.005296610169491539,reweight,Vehicle & Parts,10,0,9.228157971,0,,1.0,,
2013-04-30,2013-05-02,0,D10,MPLU3,L,0.06779661016949154,0.0,-0.06779661016949154,exit,Other,3,0,21.56675116,0,,1.0,,
2013-04-30,2013-05-02,0,D10,PFRM3,L,0.0,0.0625,0.0625,add,Trade,1,0,15.18503366,0,,1.0,,
2013-04-30,2013-05-02,0,D10,PMAM3,L,0.0,0.0625,0.0625,add,Basic & Fabricated Metal,1,0,82.11191863,0,,1.0,,
2013-04-30,2013-05-02,0,D10,PSSA3,L,0.0,0.0625,0.0625,add,Financial Services,1,0,6.339436301,0,,1.0,,
2013-04-30,2013-05-02,0,D10,SIMH3,L,0.0,0.0625,0.0625,add,Transportation Services,1,0,2.942042111,0,,1.0,,
2013-04-30,2013-05-02,0,D10,TAEE11,L,0.06779661016949154,0.0,-0.06779661016949154,exit,Electric Power,6,0,5.83727871,0,,1.0,,
2013-04-30,2013-05-02,0,D10,VLID3,L,0.06779661016949154,0.0,-0.06779661016949154,exit,Other,9,0,19.74257104,0,,1.0,,
2013-04-30,2013-05-02,0,D10,YDUQ3,L,0.06779661016949154,0.0625,-0.005296610169491539,reweight,Other,4,0,10.92684712,0,,1.0,,
2013-04-30,2013-05-02,1,D10,AUTM3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Vehicle & Parts,3,1,20.58509508,0,,1.0,,
2013-04-30,2013-05-02,1,D10,B3SA3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Financial Services,9,1,2.890099447,0,,1.0,,
2013-04-30,2013-05-02,1,D10,BEEF3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Food & Beverage,9,0,7.87895664,0,,1.0,,
2013-04-30,2013-05-02,1,D10,BPHA3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Trade,3,0,639.5,0,,1.0,,
2013-04-30,2013-05-02,1,D10,EQTL3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Electric Power,6,0,3.394016392,0,,1.0,,
2013-04-30,2013-05-02,1,D10,GRND3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Textile,6,0,3.440355213,0,,1.0,,
2013-04-30,2013-05-02,1,D10,HBOR3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Construction,9,0,30.81958712,0,,1.0,,
2013-04-30,2013-05-02,1,D10,MOTV3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Transportation Services,3,0,12.24361991,0,,1.0,,
2013-04-30,2013-05-02,1,D10,PMAM3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Basic & Fabricated Metal,3,0,82.11191863,0,,1.0,,
2013-04-30,2013-05-02,1,D10,TAEE11,L,0.08333333333333333,0.08333333333333333,0.0,keep,Electric Power,9,0,5.83727871,0,,1.0,,
2013-04-30,2013-05-02,1,D10,VLID3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Other,9,0,19.74257104,0,,1.0,,
2013-04-30,2013-05-02,1,D10,YDUQ3,L,0.08333333333333333,0.08333333333333333,0.0,keep,Other,6,0,10.92684712,0,,1.0,,
2013-04-30,2013-05-02,2,D10,AEDU3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Other,2,0,11.81709366,0,,1.0,,
2013-04-30,2013-05-02,2,D10,AMER3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Trade,2,0,968.2824886,0,,1.0,,
2013-04-30,2013-05-02,2,D10,AMIL3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Other,5,1,31.87,0,,1.0,,
2013-04-30,2013-05-02,2,D10,B3SA3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Financial Services,8,1,2.890099447,0,,1.0,,
2013-04-30,2013-05-02,2,D10,BEEF3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Food & Beverage,8,0,7.87895664,0,,1.0,,
2013-04-30,2013-05-02,2,D10,COGN3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Other,2,0,5.781256302,0,,1.0,,
2013-04-30,2013-05-02,2,D10,EQTL3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Electric Power,5,0,3.394016392,0,,1.0,,
2013-04-30,2013-05-02,2,D10,GRND3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Textile,5,0,3.440355213,0,,1.0,,
2013-04-30,2013-05-02,2,D10,JHSF3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Construction,5,0,4.703753352,0,,1.0,,
2013-04-30,2013-05-02,2,D10,LEVE3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Vehicle & Parts,8,0,9.228157971,0,,1.0,,
2013-04-30,2013-05-02,2,D10,MOTV3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Transportation Services,2,0,12.24361991,0,,1.0,,
2013-04-30,2013-05-02,2,D10,PMAM3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Basic & Fabricated Metal,2,0,82.11191863,0,,1.0,,
2013-04-30,2013-05-02,2,D10,TAEE11,L,0.06666666666666668,0.06666666666666668,0.0,keep,Electric Power,8,0,5.83727871,0,,1.0,,
2013-04-30,2013-05-02,2,D10,VLID3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Other,2,0,19.74257104,0,,1.0,,
2013-04-30,2013-05-02,2,D10,YDUQ3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Other,5,0,10.92684712,0,,1.0,,
2013-04-30,2013-05-02,0,LS,AEDU3,L,0.0,0.02814610164167489,0.02814610164167489,add,Other,1,0,11.81709366,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,AMER3,L,0.0,0.02814610164167489,0.02814610164167489,add,Trade,1,0,968.2824886,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,AMIL3,L,0.029814074862994856,0.02814610164167489,-0.0016679732213199655,reweight,Other,4,1,31.87,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,B3SA3,L,0.029814074862994856,0.0,-0.029814074862994856,exit,Financial Services,3,0,2.890099447,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,BBDC4,L,0.029814074862994856,0.0,-0.029814074862994856,exit,Financial Services,3,0,6.777436576,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,BEEF3,L,0.029814074862994856,0.02814610164167489,-0.0016679732213199655,reweight,Food & Beverage,7,0,7.87895664,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,COCE5,L,0.0,0.02814610164167489,0.02814610164167489,add,Electric Power,1,0,32.43444382,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,CZLT33,L,0.0,0.02814610164167489,0.02814610164167489,add,Food & Beverage,1,0,37.35898122,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,DIRR3,L,0.0,0.02814610164167489,0.02814610164167489,add,Construction,1,0,2.393676802,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,EQTL3,L,0.029814074862994856,0.02814610164167489,-0.0016679732213199655,reweight,Electric Power,4,0,3.394016392,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,EZTC3,L,0.029814074862994856,0.0,-0.029814074862994856,exit,Construction,27,0,11.51192434,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,GRND3,L,0.029814074862994856,0.02814610164167489,-0.0016679732213199655,reweight,Textile,7,0,3.440355213,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,HBOR3,L,0.029814074862994856,0.0,-0.029814074862994856,exit,Construction,9,0,30.81958712,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,IMCH3,L,0.029814074862994856,0.02814610164167489,-0.0016679732213199655,reweight,Trade,4,0,25.1502347,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,JHSF3,L,0.029814074862994856,0.0,-0.029814074862994856,exit,Construction,6,0,4.703753352,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,LEVE3,L,0.029814074862994856,0.02814610164167489,-0.0016679732213199655,reweight,Vehicle & Parts,10,0,9.228157971,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,MPLU3,L,0.029814074862994856,0.0,-0.029814074862994856,exit,Other,3,0,21.56675116,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,PFRM3,L,0.0,0.02814610164167489,0.02814610164167489,add,Trade,1,0,15.18503366,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,PMAM3,L,0.0,0.02814610164167489,0.02814610164167489,add,Basic & Fabricated Metal,1,0,82.11191863,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,PSSA3,L,0.0,0.02814610164167489,0.02814610164167489,add,Financial Services,1,0,6.339436301,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,SIMH3,L,0.0,0.02814610164167489,0.02814610164167489,add,Transportation Services,1,0,2.942042111,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,TAEE11,L,0.029814074862994856,0.0,-0.029814074862994856,exit,Electric Power,6,0,5.83727871,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,VLID3,L,0.029814074862994856,0.0,-0.029814074862994856,exit,Other,9,0,19.74257104,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,YDUQ3,L,0.029814074862994856,0.02814610164167489,-0.0016679732213199655,reweight,Other,4,0,10.92684712,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,BISA3,S,0.0,-0.0321669733047713,-0.0321669733047713,add,Construction,1,0,2.17,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,BRAP4,S,-0.03726759357874357,-0.0321669733047713,0.005100620273972269,reweight,Other,7,0,3.672175823,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,CSNA3,S,-0.03726759357874357,-0.0321669733047713,0.005100620273972269,reweight,Basic & Fabricated Metal,4,0,3.868266901,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,CTIP3,S,0.0,-0.0321669733047713,-0.0321669733047713,add,Financial Services,1,0,19.85427137,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,DASA3,S,-0.03726759357874357,0.0,0.03726759357874357,exit,Other,9,0,10.19730353,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,ELET3,S,-0.03726759357874357,-0.0321669733047713,0.005100620273972269,reweight,Electric Power,28,0,3.795851647,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,JBSS3,S,-0.03726759357874357,-0.0321669733047713,0.005100620273972269,reweight,Food & Beverage,4,0,3.914214107,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,MBRF3,S,0.0,-0.0321669733047713,-0.0321669733047713,add,Food & Beverage,1,0,4.130685721,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,MGLU3,S,-0.03726759357874357,-0.0321669733047713,0.005100620273972269,reweight,Trade,4,0,1.988301008,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,OGXP3,S,-0.03726759357874357,-0.0321669733047713,0.005100620273972269,reweight,Oil & Gas,4,1,186.0,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,OSXB3,S,-0.03726759357874357,-0.0321669733047713,0.005100620273972269,reweight,Vehicle & Parts,25,0,307.0,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,PDGR3,S,-0.03726759357874357,-0.0321669733047713,0.005100620273972269,reweight,Construction,7,0,12637519.34,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,PRIO3,S,0.0,-0.0321669733047713,-0.0321669733047713,add,Oil & Gas,1,1,4.333040336,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,PRML3,S,-0.03726759357874357,-0.0321669733047713,0.005100620273972269,reweight,Other,10,0,16.08633615,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,RSID3,S,-0.03726759357874357,-0.0321669733047713,0.005100620273972269,reweight,Construction,4,0,85.0,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,0,LS,VSTE3,S,-0.03726759357874357,0.0,0.03726759357874357,exit,Textile,6,0,450.6401089,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,1,LS,AUTM3,L,0.03726759357874357,0.03554041647974201,-0.0017271770990015603,reweight,Vehicle & Parts,3,1,20.58509508,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,1,LS,B3SA3,L,0.03726759357874357,0.03554041647974201,-0.0017271770990015603,reweight,Financial Services,9,1,2.890099447,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,1,LS,BEEF3,L,0.03726759357874357,0.03554041647974201,-0.0017271770990015603,reweight,Food & Beverage,9,0,7.87895664,0,,1.0,0.8944222458898456,0.9006752525335965
2013-04-30,2013-05-02,1,LS,BPHA3,L,0.03726759357874357,0.03554041647974201,-0.0017271770990015603,reweight,Trade,3,0,639.5,0,,1.0,0.8944222458898456,0.9006752525335965
